old_species_id	No. genes	Assembly size	Major clade
yHMPu5000035302_Candida_fragi	5376	12011033	CUG-Ser1
yHMPu5000035297_Priceomyces_castillae	5158	10803786	CUG-Ser1
yHMPu5000035296_Priceomyces_carsonii	5670	11696651	CUG-Ser1
yHMPu5000035252_Yamadazyma_nakazawae	5331	11046802	CUG-Ser1
yHMPu5000035033_Candida_cretensis	5169	11191205	CUG-Ser1
yHMPu5000035032_Candida_gatunensis	5262	10804638	CUG-Ser1
yHMPu5000035031_Candida_kruisii	5754	12747288	CUG-Ser1
yHMPu5000035022_Candida_emberorum	5471	13487496	CUG-Ser1
yHMPu5000035018_Candida_canberraensis	5763	14766705	CUG-Ser1
yHMPu5000035011_Candida_pyralidae	5373	12356807	CUG-Ser1
yHMPu5000034999_Cephaloascus_fragrans	5865	13710789	CUG-Ser1
yHMPu5000034998_Cephaloascus_albidus	7315	16265431	CUG-Ser1
yHMPu5000034990_Candida_corydali	5412	11630870	CUG-Ser1
yHMPu5000034988_Candida_fructus	5017	11424057	CUG-Ser1
yHMPu5000034986_Candida_oregonensis	5328	10888765	CUG-Ser1
yHMPu5000034973_Danielozyma_ontarioensis	5149	10695036	CUG-Ser1
yHMPu5000034665_Kodamaea_laetipori	6050	15027331	CUG-Ser1
yHMPu5000034654_Aciculoconidium_aculeatum	7084	18151909	CUG-Ser1
yHMPu5000034648_Candida_restingae	5371	13949930	CUG-Ser1
yHMPu5000034643_Candida_schatavii	5660	13722773	CUG-Ser1
yHMPu5000034632_Candida_athensensis	4611	9658105	CUG-Ser1
yHMPu5000034606_Priceomyces_medius	5280	11052730	CUG-Ser1
Ascoidea_asiatica	7632	20313720	CUG-Ser2
Ascoidea_rubescens	6318	17503998	CUG-Ser2
Saccharomycopsis_malanga	6187	16719687	CUG-Ser2
yHMPu5000034607_Saccharomycopsis_capsularis	6736	17530741	CUG-Ser2
Cyberlindnera_fabianii_JCM3601	5752	12303847	Phaffomycetaceae
Cyberlindnera_jadinii	5860	13018415	Phaffomycetaceae
Wickerhamomyces_anomalus	6207	14145566	Phaffomycetaceae
Wickerhamomyces_ciferrii	6645	15901152	Phaffomycetaceae
yHMPu5000035703_Cyberlindnera_americana	5848	11555069	Phaffomycetaceae
yHMPu5000035699_Cyberlindnera_maclurae	5725	10515262	Phaffomycetaceae
yHMPu5000035690_Candida_vartiovaarae	5617	11225528	Phaffomycetaceae
